664159,550946
665845,557965
597173,575538
618600,551446
635690,608046
588100,557588
582015,546191
604678,574577
572029,518313
604737,574591
577728,587566
602013,574722
627968,574625
607269,536961
603145,574795
671919,571761
612184,570393
600032,575310
627912,593892
601967,604428
591851,569051
601444,572693
629718,558104
661430,603567
597551,556737
601182,582584
562704,570596
605107,563429
607214,575069
568824,570203
612485,518009
589244,573777
625579,551084
560237,500154
626224,569687
610666,551701
597428,569940
600582,599535
604168,555003
613871,550423
617310,551945
625728,579460
606300,566708
638559,558807
582176,630383
544056,577786
631297,578351
561574,621747
604973,574773
